budget,true_sigma,increment,floor_factor,single_reading_sd,reading_count,expected_average_sd,build_sd_factor,build_sd,repetitions,recorded_overlap_rate,actual_overlap_rate,false_overlap_rate,mu_bias,mu_rmse,sigma_bias,sigma_rmse,mean_abs_record_error,mean_abs_build_error,mean_duplicates,mean_stage2_tests,execution_mode,scenario_shard_index,scenario_shard_count,seed,repeated_setting_rate,nonfinite_fit_rate
20,0.1,0.05,1,0.03,4,0.015,0.5,0.025,300,0.936666666666667,0.94,0,0.00156360677356974,0.0486290557874957,-0.00847569194542902,0.0434046177293597,0.0118175454901034,0.0198400636756088,8.70666666666667,5.69,process-shard,2,4,20260912,0.435333333333334,0.063333333333333
20,0.1,0.05,1,0.03,5,0.0134164078649987,0,0,300,0.956666666666667,0.956666666666667,0,-0.000349854901529483,0.0401893653797922,-0.0101026391925198,0.0378672608848574,0.0108010885838539,0,7.53666666666667,5.03333333333333,process-shard,1,4,20260912,0.376833333333333,0.043333333333333
20,0.1,0.05,1,0.03,5,0.0134164078649987,0.25,0.0125,300,0.953333333333333,0.953333333333333,0,-0.000107909515733816,0.0423144747112188,-0.0115172435520717,0.0407381764508549,0.0108010885838539,0.0101778073858931,7.90333333333333,5.19,process-shard,4,4,20260912,0.395166666666666,0.046666666666667
20,0.1,0.05,1,0.03,5,0.0134164078649987,0.5,0.025,300,0.953333333333333,0.956666666666667,0,0.000195210111308364,0.0412867207094291,-0.0115725077009173,0.0400958929167275,0.0108010885838539,0.0203556147717862,8.45333333333333,5.29,process-shard,3,4,20260912,0.422666666666666,0.046666666666667
20,0.1,0.05,2,0.015,4,0.0075,0,0,300,0.94,0.94,0,0.00236022007307342,0.0445056107923104,-0.00672417144394944,0.0372050317102448,0.00606444142265639,0,7.57333333333333,5.20333333333333,process-shard,3,4,20260912,0.378666666666666,0.0600000000000001
20,0.1,0.05,2,0.015,4,0.0075,0.25,0.0125,300,0.926666666666667,0.926666666666667,0,-0.00191581516675386,0.0484101438745119,-0.00962587834297694,0.0406700178939877,0.00606444142265639,0.00998170117836461,7.85333333333333,5.38,process-shard,2,4,20260912,0.392666666666666,0.073333333333333
20,0.1,0.05,2,0.015,4,0.0075,0.5,0.025,300,0.943333333333333,0.936666666666667,0.00666666666666667,-0.00173632117948789,0.0428727012900549,-0.0123731422194968,0.0407663311418334,0.00606444142265639,0.0199634023567292,8.41333333333333,5.68333333333333,process-shard,1,4,20260912,0.420666666666667,0.056666666666667
20,0.1,0.05,2,0.015,5,0.00670820393249937,0,0,300,0.956666666666667,0.956666666666667,0,-0.00360440547300964,0.0482181721031618,-0.00735921867816724,0.0377845146957318,0.00539209083472938,0,7.57333333333333,5.28333333333333,process-shard,4,4,20260912,0.378666666666666,0.043333333333333
20,0.1,0.05,2,0.015,5,0.00670820393249937,0.25,0.0125,300,0.943333333333333,0.943333333333333,0,-0.00219274009520636,0.0491220136059855,-0.0078428815244643,0.0403616175833393,0.00539209083472937,0.00988334822284947,8.16666666666667,5.79666666666667,process-shard,3,4,20260912,0.408333333333333,0.056666666666667
20,0.1,0.05,2,0.015,5,0.00670820393249937,0.5,0.025,300,0.956666666666667,0.96,0,-0.00215301709817793,0.0444600321694811,-0.0103080093170014,0.0403758286517664,0.00539209083472938,0.0197666964456989,8.58666666666667,5.78666666666667,process-shard,2,4,20260912,0.429333333333333,0.043333333333333
20,0.1,0.05,2,0.03,4,0.015,0,0,300,0.926666666666667,0.926666666666667,0,-0.000156850200188068,0.0525245174053913,-0.0063365415925861,0.0428698895127346,0.0118175454901034,0,7.79666666666667,5.16333333333333,process-shard,1,4,20260912,0.389833333333334,0.073333333333333
20,0.1,0.05,2,0.03,4,0.015,0.25,0.0125,300,0.926666666666667,0.926666666666667,0,0.00320866813687661,0.0518084152581864,-0.00700862136285675,0.0401971935717959,0.0118175454901034,0.0099200318378044,8.05,5.64333333333333,process-shard,4,4,20260912,0.4025,0.073333333333333
20,0.1,0.05,2,0.03,4,0.015,0.5,0.025,300,0.953333333333333,0.956666666666667,0,-0.00199729748965643,0.0552162300255624,-0.00642412466203893,0.0458710697348657,0.0118175454901034,0.0198400636756088,8.7,5.69333333333333,process-shard,3,4,20260912,0.435,0.046666666666667
20,0.1,0.05,2,0.03,5,0.0134164078649987,0,0,300,0.956666666666667,0.956666666666667,0,0.00109179909475051,0.0401389801568778,-0.00978621025553235,0.0374452059187924,0.0108010885838539,0,7.52,5.02666666666667,process-shard,2,4,20260912,0.376,0.043333333333333
20,0.1,0.05,2,0.03,5,0.0134164078649987,0.25,0.0125,300,0.933333333333333,0.933333333333333,0,-0.00171132104732667,0.0425019136545297,-0.0116697037790716,0.040872914919016,0.0108010885838539,0.0101778073858931,7.94333333333333,5.23,process-shard,1,4,20260912,0.397166666666667,0.066666666666667
20,0.1,0.05,2,0.03,5,0.0134164078649987,0.5,0.025,300,0.95,0.953333333333333,0,0.000697724355031304,0.0417922858099863,-0.0114145371369388,0.0398334270328505,0.0108010885838539,0.0203556147717862,8.45333333333333,5.28333333333333,process-shard,4,4,20260912,0.422666666666666,0.05
20,0.1,0.1,0,0.015,4,0.0075,0,0,300,0.79,0.79,0,0.00362608332075255,0.0531920395589809,0.0161588352482761,0.0413177269913363,0.0059044775901462,0,10.6933333333333,8.79,process-shard,1,4,20260912,0.534666666666665,0.21
20,0.1,0.1,0,0.015,4,0.0075,0.25,0.025,300,0.81,0.81,0,0.00301284506487393,0.0582745355063905,0.0135761827233414,0.0445593160856465,0.0059044775901462,0.0200199196600536,11.13,8.63666666666667,process-shard,4,4,20260912,0.5565,0.19
20,0.1,0.1,0,0.015,4,0.0075,0.5,0.05,300,0.836666666666667,0.84,0,0.00658191241815075,0.0500141399540929,0.00441011575770388,0.0429643082234957,0.0059044775901462,0.0400398393201072,11.6066666666667,8.80333333333333,process-shard,3,4,20260912,0.580333333333335,0.163333333333333
20,0.1,0.1,0,0.015,5,0.00670820393249937,0,0,300,0.7,0.7,0,0.0139426060904474,0.0641034393631869,0.0180384208868017,0.0467114053194443,0.00540181849083,0,11.1133333333333,9.65,process-shard,2,4,20260912,0.555666666666665,0.3
20,0.1,0.1,0,0.015,5,0.00670820393249937,0.25,0.025,300,0.743333333333333,0.743333333333333,0,0.00881047048084444,0.0634751935203521,0.0172939430266689,0.0478381226209446,0.00540181849083,0.0199944874741608,11.1866666666667,8.98666666666667,process-shard,1,4,20260912,0.559333333333335,0.256666666666667
20,0.1,0.1,0,0.015,5,0.00670820393249937,0.5,0.05,300,0.81,0.816666666666667,0.00666666666666667,0.00141249148740355,0.0507780455387922,0.00331096614355515,0.0444174506713641,0.00540181849083001,0.0399889749483217,11.6566666666667,8.55,process-shard,4,4,20260912,0.582833333333335,0.19
